Date,Price,Open,High,Low,Change%
03-22-2021,7.9167,8.1263,7.5526,7.6997,-2.58%
03-21-2021,8.1263,8.3235,7.5636,8.0986,12.65%
03-19-2021,7.2140,7.3250,7.5594,7.1909,-1.44%
03-18-2021,7.3193,7.5037,7.5680,7.2874,-2.43%
03-17-2021,7.5017,7.4950,7.5711,7.4790,0.15%
03-16-2021,7.4907,7.5378,7.5547,7.4645,-0.54%
03-15-2021,7.5316,7.5635,7.6212,7.4955,-0.36%
03-12-2021,7.5586,7.4805,7.6231,7.4690,1.31%
03-11-2021,7.4612,7.5010,7.5601,7.4270,-0.48%
03-10-2021,7.4974,7.6170,7.6707,7.4912,-1.50%
03-09-2021,7.6116,7.7565,7.7861,7.5862,-2.04%
03-08-2021,7.7698,7.5380,7.7857,7.5095,3.12%
03-05-2021,7.5348,7.5079,7.5856,7.4668,0.48%
03-04-2021,7.4989,7.4618,7.5833,7.4011,0.57%
03-03-2021,7.4565,7.3522,7.5009,7.2905,1.49%
03-02-2021,7.3472,7.2886,7.4231,7.2741,0.97%
03-01-2021,7.2769,7.4269,7.4296,7.2181,-1.96%
02-26-2021,7.4226,7.3418,7.4925,7.2979,1.20%
02-25-2021,7.3345,7.1684,7.4460,7.1537,2.37%
02-24-2021,7.1648,7.1068,7.2527,7.0721,0.88%
02-23-2021,7.1020,7.0201,7.1178,7.0017,1.25%
02-22-2021,7.0144,6.9637,7.0925,6.9576,0.80%
02-19-2021,6.9587,6.9719,7.0086,6.9460,0.01%
02-18-2021,6.9583,6.9710,7.0118,6.9201,-0.15%
02-17-2021,6.9687,6.9928,7.0603,6.9565,-0.25%
02-16-2021,6.9863,6.9655,7.0213,6.8882,0.40%
02-15-2021,6.9584,7.0355,7.0386,6.9427,-1.05%
02-12-2021,7.0319,7.0227,7.0543,7.0037,0.12%
02-11-2021,7.0235,7.0619,7.0718,7.0051,-0.42%
02-10-2021,7.0528,7.0655,7.0890,7.0287,-0.08%
02-09-2021,7.0581,7.0713,7.1451,7.0612,-0.13%
